experimento;dataset;estructura;clave;cantidad_tweets;tiempo_promedio_segundos;desviacion_segundos;memoria_bytes
1;auspol2019.csv;abierto;user_id;10000;0.00203285;0.00276945;5044784
2;auspol2019.csv;abierto;user_screen_name;10000;0.00210514;0.00408125;5342978
3;auspol2019.csv;abierto;user_id;20000;0.0033945;0.00460258;5241136
4;auspol2019.csv;abierto;user_screen_name;20000;0.0036232;0.00417558;5778634
5;auspol2019.csv;abierto;user_id;30000;0.00356944;0.00446401;5387984
6;auspol2019.csv;abierto;user_screen_name;30000;0.00677159;0.00751594;6104453
7;auspol2019.csv;abierto;user_id;40000;0.00589122;0.00361771;5482896
8;auspol2019.csv;abierto;user_screen_name;40000;0.00745325;0.00485496;6315039
9;auspol2019.csv;abierto;user_id;50000;0.00502547;0.00521444;5571504
10;auspol2019.csv;abierto;user_screen_name;50000;0.00587695;0.00583774;6511638
11;auspol2019.csv;abierto;user_id;60000;0.00701057;0.000794866;5670288
12;auspol2019.csv;abierto;user_screen_name;60000;0.0116455;0.000748799;6730815
13;auspol2019.csv;abierto;user_id;70000;0.0161119;0.0314343;5742800
14;auspol2019.csv;abierto;user_screen_name;70000;0.0130987;0.000638467;6891701
15;auspol2019.csv;abierto;user_id;80000;0.0116118;0.00516323;5819760
16;auspol2019.csv;abierto;user_screen_name;80000;0.0151918;0.0034975;7062456
17;auspol2019.csv;abierto;user_id;90000;0.00842;0.00611617;5862992
18;auspol2019.csv;abierto;user_screen_name;90000;0.0181578;0.00498537;7158377
19;auspol2019.csv;abierto;user_id;100000;0.00677737;0.00753818;5897936
20;auspol2019.csv;abierto;user_screen_name;100000;0.0181369;0.00509309;7235909
21;auspol2019.csv;abierto;user_id;110000;0.0122539;0.00588591;5925040
22;auspol2019.csv;abierto;user_screen_name;110000;0.0201641;0.00669977;7296046
23;auspol2019.csv;abierto;user_id;120000;0.0109836;0.00598632;5950000
24;auspol2019.csv;abierto;user_screen_name;120000;0.021232;0.00465571;7351426
25;auspol2019.csv;abierto;user_id;130000;0.0111719;0.000914488;5972400
26;auspol2019.csv;abierto;user_screen_name;130000;0.0212978;0.000865903;7401126
27;auspol2019.csv;abierto;user_id;140000;0.0149257;0.00916319;5988880
28;auspol2019.csv;abierto;user_screen_name;140000;0.0237009;0.00587931;7437691
29;auspol2019.csv;abierto;user_id;150000;0.0126172;0.0049949;6047056
30;auspol2019.csv;abierto;user_screen_name;150000;0.0282983;0.0121352;7566769
31;auspol2019.csv;abierto;user_id;160000;0.0177343;0.0236248;6140752
32;auspol2019.csv;abierto;user_screen_name;160000;0.0251505;0.00872612;7774657
33;auspol2019.csv;abierto;user_id;170000;0.0156032;0.0101923;6203792
34;auspol2019.csv;abierto;user_screen_name;170000;0.0272253;0.00581577;7914527
35;auspol2019.csv;abierto;user_id;180000;0.0156656;0.00663794;6238384
36;auspol2019.csv;abierto;user_screen_name;180000;0.026221;0.00915162;7991278
37;auspol2019.csv;abierto;user_id;183370;0.0146711;0.0056051;6267696
38;auspol2019.csv;abierto;user_screen_name;183370;0.0302445;0.00635924;8056314
39;auspol2019.csv;cerrado_linear;user_id;10000;0.000700675;0.000470731;3200088
40;auspol2019.csv;cerrado_linear;user_screen_name;10000;0.0015061;0.000520567;8114850
41;auspol2019.csv;cerrado_linear;user_id;20000;0.00105156;0.000393614;3200088
42;auspol2019.csv;cerrado_linear;user_screen_name;20000;0.00299836;1.25166e-05;8206890
43;auspol2019.csv;cerrado_linear;user_id;30000;0.00220155;0.000767621;3200088
44;auspol2019.csv;cerrado_linear;user_screen_name;30000;0.00487632;0.00112595;8275725
45;auspol2019.csv;cerrado_linear;user_id;40000;0.00234972;0.000489744;3200088
46;auspol2019.csv;cerrado_linear;user_screen_name;40000;0.00644879;0.000757417;8320215
47;auspol2019.csv;cerrado_linear;user_id;50000;0.0033022;0.000800804;3200088
48;auspol2019.csv;cerrado_linear;user_screen_name;50000;0.00730001;0.000732671;8361750
49;auspol2019.csv;cerrado_linear;user_id;60000;0.00411692;0.000551543;3200088
50;auspol2019.csv;cerrado_linear;user_screen_name;60000;0.0143305;0.0160717;8408055
51;auspol2019.csv;cerrado_linear;user_id;70000;0.00476861;0.00605686;3200088
52;auspol2019.csv;cerrado_linear;user_screen_name;70000;0.00826232;0.00812636;8442045
53;auspol2019.csv;cerrado_linear;user_id;80000;0.00557931;0.00504514;3200088
54;auspol2019.csv;cerrado_linear;user_screen_name;80000;0.0154588;0.0109861;8478120
55;auspol2019.csv;cerrado_linear;user_id;90000;0.00547135;0.00566648;3200088
56;auspol2019.csv;cerrado_linear;user_screen_name;90000;0.0133206;0.00705731;8498385
57;auspol2019.csv;cerrado_linear;user_id;100000;0.00697635;0.00168058;3200088
58;auspol2019.csv;cerrado_linear;user_screen_name;100000;0.0143969;0.00050476;8514765
59;auspol2019.csv;cerrado_linear;user_id;110000;0.00649818;0.000947742;3200088
60;auspol2019.csv;cerrado_linear;user_screen_name;110000;0.0207754;0.0102721;8527470
61;auspol2019.csv;cerrado_linear;user_id;120000;0.00720248;0.000767963;3200088
62;auspol2019.csv;cerrado_linear;user_screen_name;120000;0.0188003;0.00262612;8539170
63;auspol2019.csv;cerrado_linear;user_id;130000;0.007346;0.000743435;3200088
64;auspol2019.csv;cerrado_linear;user_screen_name;130000;0.01808;0.00104397;8549670
65;auspol2019.csv;cerrado_linear;user_id;140000;0.00798645;0.000632267;3200088
66;auspol2019.csv;cerrado_linear;user_screen_name;140000;0.0205516;0.00289081;8557395
67;auspol2019.csv;cerrado_linear;user_id;150000;0.00840487;0.000673625;3200088
68;auspol2019.csv;cerrado_linear;user_screen_name;150000;0.0207335;0.00087108;8584665
69;auspol2019.csv;cerrado_linear;user_id;160000;0.00976905;0.00102596;3200088
70;auspol2019.csv;cerrado_linear;user_screen_name;160000;0.0224453;0.000883455;8628585
71;auspol2019.csv;cerrado_linear;user_id;170000;0.00998558;0.000622892;3200088
72;auspol2019.csv;cerrado_linear;user_screen_name;170000;0.0249446;0.00208455;8658135
73;auspol2019.csv;cerrado_linear;user_id;180000;0.0103008;0.00080224;3200088
74;auspol2019.csv;cerrado_linear;user_screen_name;180000;0.0254217;0.000730541;8674350
75;auspol2019.csv;cerrado_linear;user_id;183370;0.0109782;0.00155303;3200088
76;auspol2019.csv;cerrado_linear;user_screen_name;183370;0.0294959;0.00627522;8688090
77;auspol2019.csv;cerrado_quadratic;user_id;10000;0.0007511;0.000445072;3200088
78;auspol2019.csv;cerrado_quadratic;user_screen_name;10000;0.00155112;0.000507492;8114850
79;auspol2019.csv;cerrado_quadratic;user_id;20000;0.00117268;0.000445255;3200088
80;auspol2019.csv;cerrado_quadratic;user_screen_name;20000;0.00299741;1.70012e-05;8206890
81;auspol2019.csv;cerrado_quadratic;user_id;30000;0.00190035;0.000308693;3200088
82;auspol2019.csv;cerrado_quadratic;user_screen_name;30000;0.0045997;0.000502762;8275725
83;auspol2019.csv;cerrado_quadratic;user_id;40000;0.00253166;0.000494208;3200088
84;auspol2019.csv;cerrado_quadratic;user_screen_name;40000;0.00610312;0.000306062;8320215
85;auspol2019.csv;cerrado_quadratic;user_id;50000;0.00304719;0.000389371;3200088
86;auspol2019.csv;cerrado_quadratic;user_screen_name;50000;0.00765227;0.000670045;8361750
87;auspol2019.csv;cerrado_quadratic;user_id;60000;0.0036996;0.000472253;3200088
88;auspol2019.csv;cerrado_quadratic;user_screen_name;60000;0.00919285;0.000824368;8408055
89;auspol2019.csv;cerrado_quadratic;user_id;70000;0.00429931;0.000572359;3200088
90;auspol2019.csv;cerrado_quadratic;user_screen_name;70000;0.010544;0.000758946;8442045
91;auspol2019.csv;cerrado_quadratic;user_id;80000;0.00500271;0.000795004;3200088
92;auspol2019.csv;cerrado_quadratic;user_screen_name;80000;0.0116988;0.00138121;8478120
93;auspol2019.csv;cerrado_quadratic;user_id;90000;0.00527469;0.000442259;3200088
94;auspol2019.csv;cerrado_quadratic;user_screen_name;90000;0.0130158;0.000657651;8498385
95;auspol2019.csv;cerrado_quadratic;user_id;100000;0.00578218;0.000442184;3200088
96;auspol2019.csv;cerrado_quadratic;user_screen_name;100000;0.0139412;0.000686249;8514765
97;auspol2019.csv;cerrado_quadratic;user_id;110000;0.00630017;0.000575225;3200088
98;auspol2019.csv;cerrado_quadratic;user_screen_name;110000;0.0159934;0.000720403;8527470
99;auspol2019.csv;cerrado_quadratic;user_id;120000;0.00700629;0.000795806;3200088
100;auspol2019.csv;cerrado_quadratic;user_screen_name;120000;0.01727;0.00120265;8539170
101;auspol2019.csv;cerrado_quadratic;user_id;130000;0.00960004;0.00310297;3200088
102;auspol2019.csv;cerrado_quadratic;user_screen_name;130000;0.0186153;0.0012666;8549670
103;auspol2019.csv;cerrado_quadratic;user_id;140000;0.00754674;0.00060712;3200088
104;auspol2019.csv;cerrado_quadratic;user_screen_name;140000;0.0200946;0.00207352;8557395
105;auspol2019.csv;cerrado_quadratic;user_id;150000;0.00805303;0.000689822;3200088
106;auspol2019.csv;cerrado_quadratic;user_screen_name;150000;0.0206691;0.00104606;8584665
107;auspol2019.csv;cerrado_quadratic;user_id;160000;0.00910128;0.00134475;3200088
108;auspol2019.csv;cerrado_quadratic;user_screen_name;160000;0.0221657;0.00109961;8628585
109;auspol2019.csv;cerrado_quadratic;user_id;170000;0.0123476;0.00584394;3200088
110;auspol2019.csv;cerrado_quadratic;user_screen_name;170000;0.0251089;0.00275152;8658135
111;auspol2019.csv;cerrado_quadratic;user_id;180000;0.0100528;0.000397327;3200088
112;auspol2019.csv;cerrado_quadratic;user_screen_name;180000;0.0250965;0.00133525;8674350
113;auspol2019.csv;cerrado_quadratic;user_id;183370;0.00991911;0.000808253;3200088
114;auspol2019.csv;cerrado_quadratic;user_screen_name;183370;0.0263235;0.00175328;8688090
115;auspol2019.csv;cerrado_double;user_id;10000;0.000450565;0.000511061;3200088
116;auspol2019.csv;cerrado_double;user_screen_name;10000;0.00212562;0.00039168;8114850
117;auspol2019.csv;cerrado_double;user_id;20000;0.00130062;0.00047118;3200088
118;auspol2019.csv;cerrado_double;user_screen_name;20000;0.00362184;0.000534108;8206890
119;auspol2019.csv;cerrado_double;user_id;30000;0.00259849;0.000881134;3200088
120;auspol2019.csv;cerrado_double;user_screen_name;30000;0.00664297;0.000817425;8275725
121;auspol2019.csv;cerrado_double;user_id;40000;0.00307953;0.000413966;3200088
122;auspol2019.csv;cerrado_double;user_screen_name;40000;0.00735106;0.00048888;8320215
123;auspol2019.csv;cerrado_double;user_id;50000;0.00399996;0.00091837;3200088
124;auspol2019.csv;cerrado_double;user_screen_name;50000;0.00962134;0.000932316;8361750
125;auspol2019.csv;cerrado_double;user_id;60000;0.00439521;0.000595646;3200088
126;auspol2019.csv;cerrado_double;user_screen_name;60000;0.0116463;0.000588293;8408055
